#,Nome do Produto,SKU,Categoria,Prioridade,Repostável,Status Post,Link do Produto,Link da Imagem,Legenda Instagram,Observações,Ordem de Postagem
24818,Boina Liverpool Vinho Poá Colorido San Doná,038.64.06.155,Boina,Normal,Não,Não Postado,,,,,55
24813,Boina Liverpool Verde Poá Colorido San Doná,038.64.06.154,Boina,Normal,Não,Não Postado,,,,,56
24808,Boina Liverpool Azul Marinho Poá Colorido San Doná,038.64.06.153,Boina,Normal,Não,Não Postado,,,,,57
24803,Boina Liverpool Alto Relevo Rosa San Doná,038.64.06.141,Boina,Normal,Não,Não Postado,,,,,58
24792,"Boina Liverpool Xadrez Marrom, Bege, Amarelo e Vermelho San Doná",038.64.06.113,Boina,Normal,Não,Não Postado,,,,,59
24787,Chapéu Pork Pie Williams Feltro Areia Sibu Company,091.12.17.027,Chapéu,Normal,Não,Não Postado,,,,,60
24782,Boina Bristol em Couro Camurça Whisky San Doná,080.63.05.029,Boina,Normal,Não,Não Postado,,,,,61
24777,Boina Bristol em Couro Camurça Marrom San Doná,080.63.05.028,Boina,Normal,Não,Não Postado,,,,,62
24772,Boina Bristol em Couro Camurça Preto San Doná,080.63.05.022,Boina,Normal,Não,Não Postado,,,,,63
24767,Boina Bristol em Couro Camurça Marfim San Doná,080.63.05.027,Boina,Normal,Não,Não Postado,,,,,64
19547,Chapéu Rock Santeiro Algas Preto Sibu Company,087.01.69.12,Chapéu,Normal,Não,Não Postado,,,,,65
19576,Chapéu Rock Santeiro Shantung Renda Sibu Company,011.01.58.12,Chapéu,Normal,Não,Não Postado,,,,,66
21390,Boné Tradicional Feltro Verde San Doná,039.63.04.025,Boné,Normal,Não,Não Postado,,,,,67
20880,Chapéu Bucket Tecido Veludo Verde San Doná,127.00.06.725,Chapéu,Normal,Não,Não Postado,,,,,68
24737,Boina Colegial Azul Onu San Doná,089.61.16.990,Boina,Normal,Não,Não Postado,,,,,69
24732,Boina Colegial Cinza Bandeira San Doná,089.61.16.986,Boina,Normal,Não,Não Postado,,,,,70
24727,Boina Colegial Bege San Doná,089.61.16.971,Boina,Normal,Não,Não Postado,,,,,71
24722,Boina Colegial Azul Royal San Doná,089.61.16.928,Boina,Normal,Não,Não Postado,,,,,72
24717,Boina Colegial Cáqui San Doná,089.61.16.927,Boina,Normal,Não,Não Postado,,,,,73
24712,Boina Colegial Vermelho Cardeal San Doná,089.61.16.926,Boina,Normal,Não,Não Postado,,,,,74
24707,Boina Colegial Verde Militar San Doná,089.61.16.925,Boina,Normal,Não,Não Postado,,,,,75
24702,Boina Colegial Preta San Doná,089.61.16.922,Boina,Normal,Não,Não Postado,,,,,76
24692,Chapéu Luna Lona de Algodão Amarelo Sibu Company,010.04.02.002,Chapéu,Normal,Não,Não Postado,,,,,77
24687,Chapéu Trento Lona de Algodão Amarelo com Tira de Couro Sibu Company,009.13.02.002.27,Chapéu,Normal,Não,Não Postado,,,,,78
24682,Chapéu Trento Lona de Algodão Crú com Tira de Couro Sibu Company,009.13.02.001.27,Chapéu,Normal,Não,Não Postado,,,,,79
20211,Chapéu Capri Fibra Natural Sibu Company,012.11.13.001,Chapéu,Normal,Não,Não Postado,,,,,80
22121,Boina Masculina Livorno Bege e Cáqui,074.00.06.142,Boina,Normal,Não,Não Postado,,,,,81
22070,Boina Italiana Masculina Classic Cinza Escuro Leve,081.00.06.054,Boina,Normal,Não,Não Postado,,,,,82
24630,Boina Militar Paraná Brim Cáqui,086.00.06.057,Boina,Normal,Não,Não Postado,,,,,83
24625,Boina Militar Paraná Helanca Azul Marinho,086.00.12.024,Boina,Normal,Não,Não Postado,,,,,84
24620,Boina Militar Paraná Helanca Verde Militar,086.00.12.091,Boina,Normal,Não,Não Postado,,,,,85
24615,Boina Militar Paraná Helanca Preto,086.00.12.022,Boina,Normal,Não,Não Postado,,,,,86
24610,Boina Militar Paraná Brim Marrom,086.00.06.053,Boina,Normal,Não,Não Postado,,,,,87
24605,Boina Militar Paraná Brim Camuflado,086.00.06.039,Boina,Normal,Não,Não Postado,,,,,88
24600,Boné Pescador I San Doná Branco,131.00.06.023,Boné,Normal,Não,Não Postado,,,,,89
24595,Boné Pescador I San Doná Preto,131.00.06.022,Boné,Normal,Não,Não Postado,,,,,90
24590,Boina Masculina Italiana Classic Xadrez Branco e Cáqui Verão,081.00.06.Z48,Boina,Normal,Não,Não Postado,,,,,91
24585,Boina Masculina Italiana Classic Xadrez Azul e Amarelo Verão,081.00.06.Z47,Boina,Normal,Não,Não Postado,,,,,92
24580,"Boina Masculina Italiana Classic Xadrez Azul, Verde, Branco e Marrom Verão",081.00.06.Z46,Boina,Normal,Não,Não Postado,,,,,93
24577,"Boina Masculina Italiana Classic Xadrez Mafim, Verde e Marrom Verão",081.00.06.Z45,Boina,Normal,Não,Não Postado,,,,,94
24572,"Boina Masculina Italiana Classic Listrado Marrom, Marfim e Azul Verão",081.00.06.Z44,Boina,Normal,Não,Não Postado,,,,,95
24569,"Boina Masculina Italiana Classic Xadrez Rosa, Azul e Amarelo Verão",081.00.06.Z43,Boina,Normal,Não,Não Postado,,,,,96
24564,"Boina Masculina Italiana Classic Xadrez Branco, Cinza e Salmão Verão",081.00.06.Z42,Boina,Normal,Não,Não Postado,,,,,97
24561,"Boina Masculina Italiana Classic Xadrez Vermelho, Bege e Azul Verão",081.00.06.Z41,Boina,Normal,Não,Não Postado,,,,,98
24556,"Boina Masculina Italiana Classic Xadrez Marrom, Bege e Azul Verão",081.00.06.Z40,Boina,Normal,Não,Não Postado,,,,,99
24551,"Boina Masculina Italiana Classic Xadrez Azul, Marrom, Preto e Branco Verão",081.00.06.Z39,Boina,Normal,Não,Não Postado,,,,,100
24546,"Boina Masculina Italiana Classic Xadrez Cáqui, Marfim e Azul Verão",081.00.06.Z38,Boina,Normal,Não,Não Postado,,,,,101
24536,Boina Masculina Italiana Classic Xadrez Cáqui e Marrom Verão,081.00.06.Z36,Boina,Normal,Não,Não Postado,,,,,102
24531,"Boina Masculina Italiana Classic Xadrez Azul, Bege e Branco Verão",081.00.06.Z35,Boina,Normal,Não,Não Postado,,,,,103
24526,"Boina Masculina Italiana Classic Xadrez Cáqui, Branco e Preto Verão",081.00.06.Z34,Boina,Normal,Não,Não Postado,,,,,104
24521,"Boina Masculina Italiana Classic Xadrez Cáqui, Bege e Branco Verão",081.00.06.Z33,Boina,Normal,Não,Não Postado,,,,,105
